sample number,degradation of beta?naphthol  (%),acidity(pH),Concentration of beta?naphthol,amount of titanium dioxide (catalyst content),aeration rate (Air Flow Rate )
1,39,2,1,3,36
2,31,2,3,3,36
3,22,2,5,3,36
4,18,2,7,3,36
5,21,2,1,3,24
6,19,2,3,3,24
7,16,2,5,3,24
8,14,2,7,3,24
9,28,2,1,3,30
10,25,2,3,3,30
11,19,2,5,3,30
12,19,2,7,3,30
13,24,2,1,3,48
14,21,2,3,3,48
15,20,2,5,3,48
16,16,2,7,3,48
17,35,2,1,4.5,36
18,32,2,3,4.5,36
19,29,2,5,4.5,36
20,26,2,7,4.5,36
21,26,2,1,4.5,24
22,23,2,3,4.5,24
23,24,2,5,4.5,24
24,22,2,7,4.5,24
25,29,2,1,4.5,30
26,26,2,3,4.5,30
27,24,2,5,4.5,30
28,21,2,7,4.5,30
29,31,2,1,4.5,48
30,30,2,3,4.5,48
31,25,2,5,4.5,48
32,19,2,7,4.5,48
33,35,2,1,7,36
34,32,2,3,7,36
35,31,2,5,7,36
36,28,2,7,7,36
37,30,2,1,7,24
38,27,2,3,7,24
39,26,2,5,7,24
40,22,2,7,7,24
41,33,2,1,7,30
42,30,2,3,7,30
43,28,2,5,7,30
44,25,2,7,7,30
45,36,2,1,7,48
46,33,2,3,7,48
47,31,2,5,7,48
48,27,2,7,7,48
49,35,2,1,10,36
50,34,2,3,10,36
51,30,2,5,10,36
52,25,2,7,10,36
53,30,2,1,10,24
54,26,2,3,10,24
55,25,2,5,10,24
56,21,2,7,10,24
57,29,2,1,10,30
58,26,2,3,10,30
59,23,2,5,10,30
60,22,2,7,10,30
61,34,2,1,10,48
62,30,2,3,10,48
63,27,2,5,10,48
64,21,2,7,10,48
65,53,4,1,3,36
66,44,4,3,3,36
67,37,4,5,3,36
68,36,4,7,3,36
69,38,4,1,3,24
70,33,4,3,3,24
71,32,4,5,3,24
72,28,4,7,3,24
73,40,4,1,3,30
74,36,4,3,3,30
75,31,4,5,3,30
76,28,4,7,3,30
77,42,4,1,3,48
78,40,4,3,3,48
79,35,4,5,3,48
80,30,4,7,3,48
81,45,4,1,4.5,36
82,39,4,3,4.5,36
83,38,4,5,4.5,36
84,35,4,7,4.5,36
85,34,4,1,4.5,24
86,35,4,3,4.5,24
87,33,4,5,4.5,24
88,31,4,7,4.5,24
89,37,4,1,4.5,30
90,35,4,3,4.5,30
91,36,4,5,4.5,30
92,32,4,7,4.5,30
93,39,4,1,4.5,48
94,39,4,3,4.5,48
95,36,4,5,4.5,48
96,33,4,7,4.5,48
97,46,4,1,7,36
98,45,4,3,7,36
99,43,4,5,7,36
100,41,4,7,7,36
101,44,4,1,7,24
102,41,4,3,7,24
103,39,4,5,7,24
104,31,4,7,7,24
105,47,4,1,7,30
106,45,4,3,7,30
107,40,4,5,7,30
108,36,4,7,7,30
109,47,4,1,7,48
110,45,4,3,7,48
111,41,4,5,7,48
112,39,4,7,7,48
113,47,4,1,10,36
114,45,4,3,10,36
115,42,4,5,10,36
116,38,4,7,10,36
117,41,4,1,10,24
118,40,4,3,10,24
